DCS_TAG,TagComment,Type,ITEM,ItemComment,RangeHI,RangeLO,UNIT,DataType,Array1,Array2,MarType,Process,VM_UNIT,VAR,VMArray1
S047HSAK00101A,'ACK,PVI,PV,'Com.DO',1,0,2,0,0,1,100,DB2,WB202101S1709,B,16
163LZI00179,'SCALLED,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,163LZI00179,RAW,0
063PDI00204,'E,PVI,RAW,IN,10,0,2,0,0,1,203,MODEL2,U063PDI00204,dP,0
063TZI01045,'SCALLED,PVI,RAW,IN,100,-50,2,0,0,1,200,DB3,063TZI01045,RAW,0
079GDM38187,'079-FZ-38K,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,079GDM38187,RAW,0
046TI20048,'046-P-001B,PVI,RAW,IN,300,-50,2,0,0,1,203,MODEL2,U046TI20048,T,0
046TI30047,'046-P-001C',PVI,RAW,IN,300,-50,2,0,0,1,203,MODEL2,U046TI30047,T,0
071TI05055,'071-U-130',PVI,RAW,IN,50,-70,2,0,0,1,203,MODEL2,U071TI05055,T,0
071PV05075A,'071-U-130','MLD-SW',MV,OUT,100,0,2,0,0,1,101,MODEL2,U071PU05075A,mv,0
071TI05077,'071-U-130',PVI,RAW,IN,100,-70,2,0,0,1,203,MODEL2,U071TI05077,T,0
071TI16000,'300011,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,071TI16000,RAW,0
071TI16011,300021,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,071TI16011,RAW,0
071PIC16036DU,300035,PVI,RAW,IN,120,0,2,0,0,1,200,DB3,071PIC16036DU,RAW,0
071AI16041,300040,PVI,RAW,IN,150,0,2,0,0,1,200,DB3,071AI16041,RAW,0
071FIC16057DU,300046,PVI,RAW,IN,6750,0,2,0,0,1,200,DB3,071FIC16057DU,RAW,0
071LI16033B,300170,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,071LI16033B,RAW,0
071LI16034C,300174,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,071LI16034C,RAW,0
071PI16039A,300184,PVI,RAW,IN,1600,0,2,0,0,1,200,DB3,071PI16039A,RAW,0
071FV16017,300241,PVI,RAW,IN,100,0,2,0,0,1,200,DB3,071FV16017,RAW,0
060TI00086,'060-V-020',PVI,RAW,IN,150,-196,2,0,0,1,203,MODEL2,U060TI00086,T,0
S163XA00058C,'163-P-007,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,FAULT,t,0
163ZSC00145,'163-CCP-202','MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U163HU00145,closelsw,0
S163XA00162CA,'163-P-202C,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S163XL00162BB,'163-P-202B,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U163PU202B,LRsw,0
S163XL00162AA,'163-P-202A,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U163PU202A,run,0
063LI00112,'EAST,PVI,RAW,IN,100,0,2,0,0,1,203,MODEL2,U063LI00112,L,0
063XS00309B,'PCS4HEATERS,LC64,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
063HSL00310B,'PCS4HEATERS,LC64,PV,IN,1,0,2,0,0,1,101,MODEL2,U063H232F,DO_STOP,0
S063XA00501A,'063-PM-232A,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S063XA01044BC,'063-PM-213B,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,FAULT,t,0
046FI10041,'HO,PVI,RAW,IN,1900,0,2,0,0,1,204,MODEL2,U046FI10041,F,0
046LI00170,'DH,PVI,RAW,IN,100,0,2,0,0,1,203,MODEL2,U046LI00170,L,0
046FI00064,'HO,PVI,RAW,IN,5000,0,2,0,0,1,203,MODEL2,U046FI00064,F,0
S046VZHH21018A,'046-P-001B,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
071HSH05200,'071-U-130','MC-2E',PV,IN,1,0,2,0,0,1,101,MODEL2,U071H132AC,DO_RUN,0
071ZSC05105,'071-U-130','MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU05105,closelsw,0
071KY05105,'071-U-130','MC-2E',PV,IN,1,0,2,0,0,1,101,MODEL2,U071KU05105,sw,0
S071XL16033,'AUTO/MAN,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071U110L,C06,0
S071ZLC16102,'N2,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU16102,closelsw,0
S071XL16110,'VALVE,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U071KU16110,pos,0
S071XA16206C,'071-E-116,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S071XL16207OK,'071-E-111,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S071XA26205C,'071-E-128B,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
S071HSL16201A,'071-P-111B,WBSWITCH,PV,IN,1,0,2,0,0,1,101,MODEL2,U071PU111B,DO_STOP,0
S063XL00085A,'063-P-009,WBSWITCH,PV,IN,1,0,2,0,0,1,201,MODEL2,U063PU009,run,0
060PI10011,'HL,PVI,RAW,IN,4000,0,2,0,0,1,203,MODEL2,U060PI10011,P,0
D060XS15061A,'060-U-160A','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
060ZSC10013,'HV,'SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,PRV02,V10,0
060ZSO10030,'HL,'MC-2E',PV,IN,1,0,2,0,0,1,201,MODEL2,U060KU10030,openlsw,0
D060XS05021D,'060-U-200','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
D060XS25061B,'060-U-160B','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
D060XS05041B,'060-U-300','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
D060XS05051A,'060-U-200','SI-1',PV,IN,1,0,2,0,0,1,201,MODEL2,AVAIL,t,0
060XL06101BB,'060-H-030A/B',ST16,PV,IN,1,0,2,0,0,1,201,MODEL2,U060H030B,run,0
